bioproject,biosample,sra,lat_start,lat_end,long_start,long_end,size_low,size_up,nitrate,Chlorophyll,oxy,Salinity,temperature,depth,coor1,coor2,size
PRJEB6609,SAMEA2732628,ERR1719360,-33.6771,-33.6766,-71.9719,-71.97,20,180,99999,2.988957,273.51475,34.392308,16.760633,5,latitudeN=-33.6771,longitudeE=-71.9719,(20-180)
PRJEB6609,SAMEA2657049,ERR1719483,-60.2584,-60.2658,-60.6226,-60.6155,180,2000,24.423039,0.109555,338.2982,33.71972,1.84402,5,latitudeN=-60.2584,longitudeE=-60.6226,(180-2000)
PRJEB6609,SAMEA2656988,ERR1719447,-16.9554,-16.9554,-100.6911,-100.6971,180,2000,2.597182,0.07328,209.228083,35.988467,22.762017,5,latitudeN=-16.9554,longitudeE=-100.6911,(180-2000)
PRJEB6609,SAMEA2732866,ERR1719188,14.1957,14.1939,-116.7293,-116.7381,5,20,24.352218,0.029483,1.622029,34.742099,12.170624,40,latitudeN=14.1957,longitudeE=-116.7293,(5-20)
PRJEB6609,SAMEA2657082,ERR1719501,-31.0551,-31.0543,4.668,4.6717,20,180,2.096308,0.545147,234.236,35.690458,16.948525,5,latitudeN=-31.0551,longitudeE=4.668,(20-180)
PRJEB6609,SAMEA2656992,ERR1719251,-35.2351,-35.2302,26.3022,26.2998,20,180,99999,0.193182,206.596083,99999,21.815767,5,latitudeN=-35.2351,longitudeE=26.3022,(20-180)
PRJEB6609,SAMEA2624009,ERR1719174,44.0342,44.0706,-16.5455,-16.5,0.8,&gt;,4.454781,0.322158,244.58026,35.82768,13.391246,100,latitudeN=44.0342,longitudeE=-16.5455,(0.8-&gt;)
PRJEB6609,SAMEA2620378,ERR1719218,-0.6625,-0.6623,73.161,73.1611,0.8,5,0.477267,0.121909,185.733167,35.111283,30.12565,5,latitudeN=-0.6625,longitudeE=73.161,(0.8-5)
PRJEB6609,SAMEA2620071,ERR1719267,18.5918,18.5706,66.622,66.5023,0.8,5,-1.415582,0.099089,193.3535,36.285367,26.81765,5,latitudeN=18.5918,longitudeE=66.622,(0.8-5)
PRJEB6609,SAMEA2623881,ERR1719371,36.1811,36.2108,-28.9373,-28.7989,0.8,&gt;,1.56535,0.247378,228.54515,36.162887,16.751066,80,latitudeN=36.1811,longitudeE=-28.9373,(0.8-&gt;)
PRJEB6609,SAMEA2732344,ERR1719431,-40.6083,-40.6088,-51.9557,-51.947,180,2000,-0.156557,0.358201,208.363214,35.8829,18.252364,85,latitudeN=-40.6083,longitudeE=-51.9557,(180-2000)
PRJEB6609,SAMEA2656986,ERR1719391,-9.1508,-9.1515,-140.4969,-140.5155,180,2000,5.053192,0.263712,190.7865,35.384483,26.520483,5,latitudeN=-9.1508,longitudeE=-140.4969,(180-2000)
PRJEB6609,SAMEA2620418,ERR1719378,-9.3921,-9.4112,66.4228,66.3281,0.8,20,-2.201764,0,187.2575,34.1689,29.818233,5,latitudeN=-9.3921,longitudeE=66.4228,(0.8-20)
PRJEB6609,SAMEA2731730,ERR1719264,44.074,44.0789,-16.547,-16.5432,20,180,99999,99999,99999,99999,99999,25,latitudeN=44.074,longitudeE=-16.547,(20-180)
