station,lat,long,Gym,euk,all,cpm1,cpm2,depth,log
ERR1756093,9.8432,-80.0621,0,21672,24478,0,0,5,0
ERR1756112,-23.2166,-129.6234,0,39823,54028,0,0,5,0
ERR1756117,14.1927,-116.6474,0,31609,34582,0,0,5,0
ERR1756188,43.6904,-16.8544,0,101650,128819,0,0,5,0
ERR562456,18.5918,66.622,0,107187,107271,0,0,5,0
ERR562476,-32.1745,17.6991,0,234710,386385,0,0,5,0
ERR562536,18.5918,66.622,0,227490,227490,0,0,5,0
ERR562581,-32.12,17.6987,0,396534,441358,0,0,5,0
ERR562666,18.5918,66.622,0,52635,52687,0,0,5,0
ERR1756257,34.217,13.9616,0,120805,132173,0,0,5,0
ERR1756291,31.7913,-64.1522,0,37354,57949,0,0,5,0
ERR1756334,31.7913,-64.1522,0,242414,327476,0,0,5,0
ERR1879687,-63.4015,-56.7938,0,234816,363868,0,0,5,0
ERR1879706,-44.6241,-52.1505,0,58388,63960,0,0,5,0
ERR1879761,-22.3368,40.3412,0,16640,24698,0,0,5,0
ERR1879908,-21.4966,56.9011,0,139894,219811,0,0,5,0
ERR1879923,25.5264,-88.394,0,42617,43321,0,0,5,0
ERR562569,20.8222,63.5133,0,293547,306691,0,0,17,0
ERR1756230,-44.5582,-52.2718,0,89700,109882,0,0,35,0
ERR1879807,-33.9116,-73.0537,0,157160,174333,0,0,35,0
ERR1755893,43.3346,7.9026,0,85233,100407,0,0,50,0
ERR1756290,43.3346,7.9026,0,50130,60070,0,0,50,0
ERR562514,37.4532,15.4596,0,312024,312260,0,0,65,0
ERR1756201,-6.6344,-152.548,0,24640,26921,0,0,100,0
ERR1756040,31.4794,-159.0901,0,68287,83108,0,0,115,0
ERR1879685,-23.2189,-129.4997,0,140986,202915,0,0,155,0
